time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
2024-01-01 06:00:00+06:00,17.75,77.2,0.0,0.0,0.0,322.15,1.38,21.0,101788.0
2024-01-01 07:00:00+06:00,18.48,74.44,0.0,0.0,0.0,324.48,1.37,19.0,101877.0
2024-01-01 08:00:00+06:00,19.21,71.68,138.0,289.61,76.0,326.8,1.35,14.0,101977.0
2024-01-01 09:00:00+06:00,19.95,68.92,350.0,575.67,120.0,329.12,1.34,9.0,102047.0
2024-01-01 10:00:00+06:00,20.68,66.16,522.0,670.45,155.0,331.45,1.32,10.0,102097.0
2024-01-01 11:00:00+06:00,21.41,63.4,646.0,728.86,174.0,333.77,1.31,9.0,102057.0
2024-01-01 12:00:00+06:00,22.14,60.64,699.0,734.19,190.0,336.1,1.29,359.0,101987.0
2024-01-01 13:00:00+06:00,22.88,57.88,685.0,719.14,195.0,338.42,1.28,349.0,101858.0
2024-01-01 14:00:00+06:00,26.32,44.75,610.0,711.66,174.0,360.0,1.79,346.0,101768.0
2024-01-01 15:00:00+06:00,26.32,43.95,465.0,624.22,158.0,355.8,1.93,347.0,101698.0
2024-01-01 16:00:00+06:00,25.93,44.45,285.0,528.88,112.0,352.4,1.79,350.0,101688.0
2024-01-01 17:00:00+06:00,24.82,50.45,80.0,215.83,52.0,348.2,1.45,348.0,101658.0
2024-01-01 18:00:00+06:00,23.1,56.55,0.0,0.0,0.0,341.6,1.79,352.0,101718.0
2024-01-01 19:00:00+06:00,21.3,63.85,0.0,0.0,0.0,336.8,2.07,357.0,101798.0
2024-01-01 20:00:00+06:00,19.79,70.8,0.0,0.0,0.0,333.2,2.07,0.0,101858.0
2024-01-01 21:00:00+06:00,18.77,75.5,0.0,0.0,0.0,329.2,2.07,358.0,101917.0
2024-01-01 22:00:00+06:00,17.93,79.4,0.0,0.0,0.0,326.2,2.07,351.0,101917.0
2024-01-01 23:00:00+06:00,17.19,82.7,0.0,0.0,0.0,323.4,2.07,343.0,101947.0
2024-01-02 00:00:00+06:00,16.53,85.35,0.0,0.0,0.0,321.2,2.07,341.0,101897.0
2024-01-02 01:00:00+06:00,15.95,87.5,0.0,0.0,0.0,319.4,2.07,341.0,101887.0
2024-01-02 02:00:00+06:00,15.49,88.55,0.0,0.0,0.0,317.8,2.07,346.0,101828.0
2024-01-02 03:00:00+06:00,15.08,89.7,0.0,0.0,0.0,316.4,2.0,350.0,101788.0
2024-01-02 04:00:00+06:00,14.56,91.45,0.0,0.0,0.0,315.0,1.93,353.0,101778.0
